tam_vetor,alg,tempo,n_expl,custo,vetor
5,B,0.000574,22,14,3 4 2 5 1 
5,U,0.001012,33,10,
5,I,0.001756,6,12,
5,G,0.000319,4,12,
5,A,0.001041,15,10,
6,B,0.003092,74,16,5 6 2 4 3 1 
6,U,0.014946,261,12,
6,I,0.007808,309,12,
6,G,0.000579,4,12,
6,A,0.005263,48,12,
7,B,0.019432,575,24,4 6 2 5 7 1 3 
7,U,0.034018,727,16,
7,I,0.429925,589,18,
7,G,0.000954,6,18,
7,A,0.016918,207,16,
8,B,0.193517,3226,16,7 6 8 2 4 5 1 3 
8,U,0.556484,5996,16,
8,I,2.863339,382988,20,
8,G,0.000926,5,16,
8,A,0.040946,282,16,
9,B,1.260283,18710,22,8 3 9 7 2 4 6 1 5 
9,U,3.271193,36996,20,
9,I,91.463288,10644297,22,
9,G,0.0011,6,22,
9,A,0.335404,2355,20,
10,B,12.422783,83370,26,7 3 9 8 2 6 5 1 10 4
10,U,10.991297,103036,22,
10,I,,,,
10,G,0.001776,8,28,
10,A,1.220062,7594,22,
11,B,125.017582,789929,30,11 3 8 11 9 5 2 10 6 7 1 4
11,U,334.877594,,,
11,I,,,,
11,G,0.002393,8,32,
11,A,35.811419,178761,28,
