tam_vetor,alg,tempo,n_expl,custo,vetor
5,B,0.000574,22,14,3 4 2 5 1 
5,U,0.001274,33,10,
5,I,0.001756,6,12,
5,G,0.000368,4,12,
5,A,0.001024,15,10,
6,B,0.003092,74,16,5 6 2 4 3 1 
6,U,0.008644,261,12,
6,I,0.007808,309,12,
6,G,0.000273,4,12,
6,A,0.004328,48,12,
7,B,0.019432,575,24,4 6 2 5 7 1 3 
7,U,0.026343,727,16,
7,I,0.429925,589,18,
7,G,0.00068,6,18,
7,A,0.012222,207,16,
8,B,0.193517,3226,16,7 6 8 2 4 5 1 3 
8,U,0.752965,5996,16,
8,I,2.863339,382988,20,
8,G,0.000844,5,16,
8,A,0.038043,282,16,
9,B,1.260283,18710,22,8 3 9 7 2 4 6 1 5 
9,U,18.994821,36996,20,
9,I,91.463288,10644297,22,
9,G,0.001281,6,22,
9,A,0.477284,2355,20,
10,B,12.422783,83370,26,7 3 9 8 2 6 5 1 10 4
10,U,174.661085,103036,22,
10,I,,,,
10,G,0.001398,8,28,
10,A,5.298925,7594,22,
